Ciudad,Estado,PromedioTempMinima,PromedioNevadas
Atlanta,Georgia,11.7,2.9
Austin,Texas,15.0,0.6
Baltimore,Maryland,7.2,20.2
Birmingham,Alabama,11.7,1.6
Boston,Massachusetts,6.7,43.8
Buffalo,New York North,4.4,94.7
Charlotte,Carolina,9.4,4.3
Chicago,Illinois,5.0,36.7
Cincinnati,Ohio,6.1,11.2
Cleveland,Ohio,6.1,68.1
Columbus,Ohio,6.7,27.5
Dallas,Texas,13.9,1.5
Denver,Colorado,2.2,53.8
Detroit,Michigan,5.6,42.7
Hartford,Connecticut,4.4,40.5
Houston,Texas,15.6,0.1
Indianapolis,Indiana,6.7,25.9
Jacksonville,Florida,14.4,0
Kansas City,Missouri,8.9,13.4
Las Vegas,Nevada,15.0,0.3
Los Angeles,California,13.3,0
Louisville,Kentucky,9.4,12.5
Memphis,Tennessee,12.2,3.8
Miami,Florida,21.1,0
Milwaukee,Wisconsin,4.4,46.9
Minneapolis,Minnesota,2.8,54
Nashville,Tennessee,9.4,6.3
New Orleans,Louisiana,16.1,0
New York,New York,8.9,25.1
Oklahoma City,Oklahoma,10.6,7.8
Orlando,Florida,17.2,0
Philadelphia,Pennsylvania,8.3,22.4
Phoenix,Arizona,17.2,0
Pittsburgh,Pennsylvania,5.6,41.9
Portland,Oregon,7.2,3
Providence,Rhode Island North,6.1,33.8
Raleigh,Carolina,10.0,3.9
Richmond,Virginia,8.9,10.3
Riverside,California,11.7,0
Rochester,New York,3.9,99.5
Sacramento,California,8.9,0
Salt Lake,Utah,5.6,56.2
San Antonio,Texas,15.0,0.7
San Diego,California,14.4,0
San Francisco,California,10.6,0
San Jose,California,10.0,0
Seattle,Washington,7.8,5
St. Louis,Missouri,8.9,17.7
Tampa,Florida,18.3,0
Virginia Beach,Virginia,11.1,5.8
Washington,DC,10.0,14.5
