,pais_iso_3,pib_pc_2022
0,AFE,1644.06282870117
1,ARE,53707.9800809111
2,ATG,19919.7266867883
3,AZE,7762.0738285884
4,BGR,13974.4492487792
5,BRB,20238.7842420154
6,CEB,19420.5837787186
7,CHI,
8,CMR,1563.48894034459
9,DNK,67790.0539923276
10,DOM,10111.2457110261
11,EAP,9954.27685723689
12,EAR,4104.08594846576
13,GAB,8820.34733682316
14,GIB,
15,HRV,18570.4039968345
16,HUN,18390.1849993244
17,IDB,1933.55647255046
18,IMN,
19,IRN,4669.57137993878
20,JAM,6047.2164567796
21,KGZ,1655.07269765044
22,KHM,1759.60802346044
23,MAC,34584.8590938779
24,MCO,240862.18244774
25,MEA,8973.86258463188
26,MNP,
27,MRT,2065.15551570106
28,NGA,2162.63373428577
29,NLD,57025.01245598
30,NOR,106177.197179078
31,SMR,
32,SOM,592.103121972088
33,SSA,1700.1021810069
34,SST,14684.0579128602
35,STP,2386.6961758184
36,SYC,13250.4558332375
37,TKM,8792.5485039672
38,TUN,3747.41939149283
39,TUR,10674.5041731531
40,TUV,5221.53279904243
41,USA,76329.5822652029
42,WSM,3745.56036746313
43,ARG,13650.6046294524
44,BLZ,6984.21695968163
45,BOL,3600.12163486427
46,CHN,12720.2163182363
47,COM,1484.89246472542
48,CUW,20501.7522782219
49,DMA,8351.19321309293
50,ETH,1027.58591095964
51,FCS,1870.33719810526
52,JOR,4311.00004622061
53,LCA,13030.9284804245
54,LMY,5886.21476419177
55,LVA,21779.5042572825
56,MAF,
57,MLT,34127.5105566356
58,MMR,1149.21121846296
59,OMN,25056.7948608378
60,PRK,
61,PSS,3912.18563859534
62,SEN,1598.72643336012
63,SLE,475.795727844622
64,THA,6909.9562847948
65,TZA,1192.76647949219
66,AGO,3000.44423053173
67,ALB,6810.11404104233
68,BHS,31458.300811739
69,BRN,37152.4769749763
70,CHE,93259.9057183024
71,CSS,12639.7046226653
72,DEU,48717.9911402128
73,ERI,
74,EUU,37432.5603859296
75,GNB,775.828965745365
76,GUY,18199.4748396968
77,HPC,1109.01426124728
78,IRL,103983.29133582
79,KIR,1701.97066488808
80,KOR,32422.5744864287
81,LAC,9795.79172340809
82,LBN,
83,MIC,6491.026846104
84,MUS,10256.2303053576
85,MWI,645.158692067185
86,NRU,11970.9382798352
87,NZL,48418.5916631992
88,PHL,3498.5098055874
89,PNG,3115.92292304288
90,PSE,3789.32796575153
91,QAT,87661.4501457275
92,RUS,15270.7060546875
93,SRB,9537.68286673128
94,TEC,11342.4918645243
95,TLS,2389.2958750343
96,TSS,1701.24538173745
97,WLD,12743.8516771218
98,AFW,1785.31221919208
99,ARB,7625.25246366409
100,BDI,259.025031363515
101,CAF,427.058096191269
102,COG,2649.22502230642
103,ESP,29674.5442864413
104,GIN,1515.16794777584
105,GNQ,7182.26538205027
106,GTM,5473.20856444589
107,ITA,34776.423234274
108,KAZ,11492.031938762
109,LIC,750.466942491605
110,LTE,12072.7671900597
111,MDA,5714.43048840294
112,MNG,5045.50470031666
113,NCL,35745.1850468561
114,PAK,1588.8798287911
115,SVK,21256.8084273666
116,SXM,35873.0564894806
117,TEA,10065.0347477818
118,TJK,1054.18948358818
119,TON,
120,UKR,4533.9755859375
121,UMC,10993.3229334135
122,URY,20795.0423535553
123,VUT,3231.35129995571
124,AFG,
125,AND,41992.7727779758
126,ASM,19673.3901023197
127,BLR,7888.26371063212
128,COD,653.656223069354
129,DJI,3136.11276804873
130,ECA,10379.7729446256
131,ECU,6391.28248430643
132,EST,28247.095992497
133,GBR,46125.2557513568
134,GRL,
135,HND,3040.17304596842
136,IBD,7682.79088931311
137,KNA,20262.2671364514
138,LMC,2561.45757553091
139,LSO,969.935760159406
140,MOZ,558.298606448221
141,MYS,11993.1876132994
142,NAC,74097.7538121867
143,NER,585.404929171026
144,OED,43431.3188607747
145,POL,18688.0044867103
146,ROU,15786.8017421977
147,SAU,30447.8837074473
148,SLB,2205.25180509148
149,SSD,
150,SSF,1701.24538173745
151,SVN,28439.3340989687
152,TGO,942.649901579536
153,TMN,4001.12264499328
154,VGB,
155,AUT,52084.6811953372
156,BFA,830.03715033429
157,BHR,30146.925026365
158,BMU,118774.790656677
159,BRA,8917.67491057495
160,BTN,
161,CRI,13365.3563992692
162,CUB,56495.8534866201
163,CYP,32048.240234375
164,CZE,27223.0451937676
165,ECS,27521.3263134197
166,EGY,4295.40749561014
167,EMU,41036.9486372554
168,FJI,5356.16439621614
169,GEO,6674.95695994589
170,GRC,20867.2690861087
171,HKG,48983.6217162934
172,IDA,1534.02309278529
173,IDN,4787.99930771921
174,IDX,1337.01317471944
175,IND,2410.88802070689
176,ISL,73466.7786674708
177,ISR,54930.9388075096
178,JPN,33823.5707344332
179,LKA,3354.38340757565
180,LTU,25064.808914729
181,LUX,125006.021815486
182,MNA,3998.58576319152
183,PAN,17357.628633794
184,PRI,35208.6371888414
185,PRT,24515.2658507319
186,SGP,82807.6290622897
187,SYR,
188,TCD,716.804381134584
189,TSA,2287.41612436406
190,UGA,964.39586947645
191,VCT,9125.32477064743
192,VNM,4163.51429874522
193,ZMB,1456.90157015445
194,ABW,33300.8388187011
195,BEL,49926.8254295305
196,BGD,2688.30550090738
197,BIH,7568.79847995923
198,CAN,54917.6625226262
199,CHL,15355.4797401048
200,CIV,2486.41219394248
201,CPV,3754.30479371603
202,CYM,99624.8854439134
203,EAS,12920.4800025269
204,FRA,40886.2532680273
205,GUM,
206,KEN,2099.30193826696
207,KWT,41079.5226998138
208,LAO,2054.43078086496
209,LCN,10344.1878492237
210,LDC,1268.33895173377
211,MAR,3441.99145507813
212,MEX,11496.5228716049
213,MHL,6225.17922244115
214,MLI,833.297255093071
215,MNE,10093.4387007266
216,NAM,5031.11503011478
217,NIC,2255.42599496242
218,PRE,1558.02127680397
219,PYF,18984.8510962405
220,SDN,1102.146484375
221,SWZ,3986.88663743798
222,TCA,24917.595805527
223,TTO,19629.4653400829
224,UZB,2255.15115496772
225,VEN,
226,ZAF,6766.48125429478
227,ZWE,1676.82148896726
228,ARM,7018.05150434798
229,AUS,65099.8459118981
230,BEN,1302.85103626824
231,BWA,7738.87880407803
232,COL,6624.16539269075
233,DZA,4342.63796796522
234,FIN,50916.2804653208
235,FRO,66979.2773224808
236,FSM,3713.95536246102
237,GHA,2203.55893518303
238,GMB,808.278281490135
239,GRD,9689.08269960317
240,HIC,49557.3857761341
241,HTI,1748.25713229469
242,IBT,6007.37076143112
243,INX,
244,IRQ,5937.19546600271
245,LBR,754.532842914744
246,LBY,6716.09598462328
247,LIE,
248,MDG,516.592615982213
249,MDV,11780.8169102421
250,MKD,6591.47131411961
251,NPL,1336.54604729847
252,OSS,16003.0975333558
253,PER,7125.82993135746
254,PLW,
255,PRY,6153.05565720044
256,PST,50886.3327303654
257,RWA,966.232071361993
258,SAS,2287.41612436406
259,SLV,5127.32166823012
260,SUR,5858.82466074423
261,SWE,56373.7885792007
262,TLA,9324.95930422935
263,VIR,
264,XKX,5340.26879794836
265,YEM,650.272218352095
